P_c,T_c
1.6532956907166023e-6,283.959512413346
1.6569145578616904e-6,283.99557564923947
1.6605413462754793e-6,284.03164804705364
1.6641760732966852e-6,284.06772960891976
1.6678187563019766e-6,284.10382033997143
1.6714694127060473e-6,284.1399202418415
1.67512805996172e-6,284.17602932005894
1.6787947155600162e-6,284.2121475759762
1.682469397030246e-6,284.2482750153042
1.68615212194008e-6,284.2844116393235
1.6898429078956516e-6,284.3205574537228
1.693541772541632e-6,284.3567124599109
1.6972487335613047e-6,284.39287666335866
1.7009638086766697e-6,284.429050065794
1.7046870156485187e-6,284.46523267228366
1.7084183722765086e-6,284.50142448505665
1.712157896399269e-6,284.5376255085976
1.7159056058944717e-6,284.573835745811
1.7196615186789248e-6,284.61005520042875
1.7234256527086436e-6,284.64628387615556
1.7271980259789567e-6,284.6825217759334
1.7309786565245835e-6,284.71876890421765
1.7347675624197075e-6,284.7550252632965
1.738564761778086e-6,284.7912908581981
1.742370272753125e-6,284.8275656907311
1.7461841135379548e-6,284.86384976632615
1.7500063023655398e-6,284.9001430864783
1.7538368575087498e-6,284.93644565685923
1.7576757972804563e-6,284.9727574788082
1.761523140033604e-6,285.0090785580834
1.7653789041613208e-6,285.0454088960193
1.7692431080969953e-6,285.08174849831335
1.7731157703143537e-6,285.11809736643835
1.7769969093275697e-6,285.1544555058918
1.7808865436913423e-6,285.1908229184208
1.7847846920009737e-6,285.2271996091906
1.78869137289248e-6,285.26358558035093
1.7926066050426656e-6,285.29998083661
1.7965304071692198e-6,285.33638538064156
1.8004627980307917e-6,285.37279921657887
1.8044037964271018e-6,285.4092223477297
1.8083534211990214e-6,285.44565477755503
1.8123116912286506e-6,285.48209651004356
1.8162786254394313e-6,285.51854754802497
1.820254242796227e-6,285.5550078960741
1.8242385623054013e-6,285.59147755650383
1.8282316030149322e-6,285.62795653435273
1.8322333840144874e-6,285.66444483153595
1.8362439244355234e-6,285.70094245344006
1.8402632434513618e-6,285.73744940169473
1.8442913602773038e-6,285.7739656819247
1.8483282941707105e-6,285.8104912955819
1.8523740644310838e-6,285.8470262484256
1.8564286904001814e-6,285.88357054182893
1.8604921914620973e-6,285.9201241815894
1.8645645870433442e-6,285.9566871690959
1.868645896612968e-6,285.99325951009257
1.8727361396826264e-6,286.0298412060723
1.87683533580669e-6,286.0664322626407
1.8809435045823194e-6,286.1030326814769
1.885060665649583e-6,286.1396424679681
1.8891868386915393e-6,286.1762616240575
1.893322043434318e-6,286.212890154839
1.8974662996472398e-6,286.2495280625907
1.9016196271428933e-6,286.28617535204603
1.9057820457772387e-6,286.32283202588366
1.909953575449687e-6,286.359498088412
1.9141342361032183e-6,286.3961735427717
1.9183240477244656e-6,286.43285839278855
1.9225230303437977e-6,286.46955264210936
1.92673120403544e-6,286.50625629405687
1.9309485889175587e-6,286.54296935277233
1.9351752051523425e-6,286.57969182112777
1.9394110729461264e-6,286.6164237036867
1.94365621254947e-6,286.65316500294114
1.9479106442572626e-6,286.6899157238085
1.9521743884088048e-6,286.726675868467
1.9564474653879302e-6,286.76344544212355
1.9607298956230896e-6,286.8002244467047
1.9650216995874367e-6,286.8370128876472
1.9693228977989514e-6,286.87381076668305
1.973633510820525e-6,286.91061808942425
1.977953559260045e-6,286.9474348574609
1.9822830637705223e-6,286.9842610765291
1.9866220450501668e-6,287.0210967481265
