,T_int,logg,lam,f_nu
161,90.0,2.0,1.0344,3.820828253968254e-06
162,90.0,2.0,1.03561,3.5188323809523808e-06
163,90.0,2.0,1.03683,1.8272117460317458e-06
164,90.0,2.0,1.03804,2.412045079365079e-07
165,90.0,2.0,1.03926,7.570390158730159e-07
166,90.0,2.0,1.04048,7.866042857142857e-07
167,90.0,2.0,1.0417,6.934120952380952e-07
168,90.0,2.0,1.04292,7.908907619047618e-06
169,90.0,2.0,1.04414,2.4471949206349206e-05
170,90.0,2.0,1.04537,2.588125714285714e-05
171,90.0,2.0,1.04659,2.940848571428571e-05
172,90.0,2.0,1.04782,3.9926279365079366e-05
173,90.0,2.0,1.04905,4.127813968253968e-05
174,90.0,2.0,1.05028,3.687317777777778e-05
175,90.0,2.0,1.05151,1.1237453968253967e-05
176,90.0,2.0,1.05274,8.519638412698412e-06
177,90.0,2.0,1.05398,2.2394812698412698e-06
178,90.0,2.0,1.05521,1.910151746031746e-05
179,90.0,2.0,1.05645,6.51009492063492e-05
180,90.0,2.0,1.05769,9.932453968253969e-05
181,90.0,2.0,1.05893,9.013209206349207e-05
182,90.0,2.0,1.06017,4.579873333333334e-05
183,90.0,2.0,1.06141,1.859295873015873e-05
184,90.0,2.0,1.06266,5.486965714285714e-05
185,90.0,2.0,1.0639,8.828474603174603e-05
186,90.0,2.0,1.06515,0.00011433825396825398
187,90.0,2.0,1.0664,9.26812380952381e-05
188,90.0,2.0,1.06765,7.775268253968254e-05
189,90.0,2.0,1.0689,7.899176507936507e-05
190,90.0,2.0,1.07015,0.00010259279365079365
191,90.0,2.0,1.07141,0.00010144660317460318
192,90.0,2.0,1.07267,0.00011415596825396828
193,90.0,2.0,1.07392,9.086758730158731e-05
194,90.0,2.0,1.07518,9.630669841269841e-05
195,90.0,2.0,1.07644,7.596499365079365e-05
196,90.0,2.0,1.07771,8.029713333333333e-05
197,90.0,2.0,1.07897,9.62984126984127e-05
198,90.0,2.0,1.08023,0.00010537403174603175
199,90.0,2.0,1.0815,0.00010825746031746031
200,90.0,2.0,1.08277,0.00011494587301587302
201,90.0,2.0,1.08404,0.0001194348888888889
202,90.0,2.0,1.08531,0.00011551298412698412
203,90.0,2.0,1.08658,9.657184126984126e-05
204,90.0,2.0,1.08786,7.847427619047619e-05
205,90.0,2.0,1.08913,6.948363174603175e-05
206,90.0,2.0,1.09041,6.45048380952381e-05
207,90.0,2.0,1.09169,5.266887936507937e-05
208,90.0,2.0,1.09297,5.135835555555555e-05
209,90.0,2.0,1.09425,4.4566463492063496e-05
210,90.0,2.0,1.09553,3.376474603174603e-05
211,90.0,2.0,1.09682,1.6742114285714284e-05
212,90.0,2.0,1.0981,3.420241587301587e-05
213,90.0,2.0,1.09939,7.75265746031746e-05
214,90.0,2.0,1.10068,0.00010259555555555556
215,90.0,2.0,1.10197,6.993603174603174e-05
216,90.0,2.0,1.10326,2.6910526984126982e-05
217,90.0,2.0,1.10456,4.739474603174604e-05
218,90.0,2.0,1.10585,8.217080952380953e-05
219,90.0,2.0,1.10715,0.00010276126984126984
220,90.0,2.0,1.10844,9.093193968253968e-05
221,90.0,2.0,1.10974,9.48143492063492e-05
222,90.0,2.0,1.11105,0.00011278974603174604
223,90.0,2.0,1.11235,0.00011056733333333333
224,90.0,2.0,1.11365,7.269775238095239e-05
225,90.0,2.0,1.11496,3.4491495238095235e-05
226,90.0,2.0,1.11627,1.8485796825396826e-05
227,90.0,2.0,1.11757,3.494831428571428e-05
228,90.0,2.0,1.11888,4.733462857142857e-05
229,90.0,2.0,1.1202,3.878404761904762e-05
230,90.0,2.0,1.12151,2.0882761904761905e-05
231,90.0,2.0,1.12283,7.790698095238095e-06
232,90.0,2.0,1.12414,8.613653650793651e-07
233,90.0,2.0,1.12546,2.893491111111111e-07
234,90.0,2.0,1.12678,2.6025796825396823e-07
235,90.0,2.0,1.1281,2.5806133333333334e-07
236,90.0,2.0,1.12942,7.707306984126984e-07
237,90.0,2.0,1.13075,1.20244126984127e-05
238,90.0,2.0,1.13207,1.696371111111111e-05
239,90.0,2.0,1.1334,1.6925780952380954e-05
240,90.0,2.0,1.13473,5.757687619047619e-06
241,90.0,2.0,1.13606,9.11446984126984e-07
242,90.0,2.0,1.13739,3.5588707936507934e-06
243,90.0,2.0,1.13873,1.293584126984127e-05
244,90.0,2.0,1.14006,1.2837425396825397e-05
245,90.0,2.0,1.1414,9.647977777777779e-06
246,90.0,2.0,1.14274,2.3120825396825398e-07
247,90.0,2.0,1.14408,3.4133092063492065e-07
248,90.0,2.0,1.14542,7.046779047619048e-07
249,90.0,2.0,1.14676,1.2463831746031747e-06
250,90.0,2.0,1.1481,2.4108942857142855e-06
251,90.0,2.0,1.14945,2.3513844444444445e-06
252,90.0,2.0,1.1508,1.720068253968254e-06
253,90.0,2.0,1.15215,5.326563492063492e-07
254,90.0,2.0,1.1535,7.110542222222222e-07
255,90.0,2.0,1.15485,7.820646349206348e-07
256,90.0,2.0,1.15621,6.564587301587302e-07
257,90.0,2.0,1.15756,1.4081111111111112e-07
258,90.0,2.0,1.15892,4.978416190476191e-08
259,90.0,2.0,1.16028,8.208942539682539e-08
260,90.0,2.0,1.16164,2.1916726984126983e-07
261,90.0,2.0,1.163,2.46162126984127e-07
262,90.0,2.0,1.16436,1.9128768253968254e-07
263,90.0,2.0,1.16573,1.9301479365079368e-07
264,90.0,2.0,1.1671,2.20331873015873e-07
265,90.0,2.0,1.16846,2.526295873015873e-07
266,90.0,2.0,1.16983,1.1595765079365079e-07
267,90.0,2.0,1.17121,6.388110793650794e-08
268,90.0,2.0,1.17258,2.828742857142857e-08
269,90.0,2.0,1.17395,2.7906193650793655e-08
270,90.0,2.0,1.17533,4.620233968253968e-08
271,90.0,2.0,1.17671,5.452349841269841e-08
272,90.0,2.0,1.17809,5.5709552380952377e-08
273,90.0,2.0,1.17947,4.9791066666666665e-08
274,90.0,2.0,1.18085,1.0085371428571428e-07
275,90.0,2.0,1.18224,2.4758634920634924e-07
276,90.0,2.0,1.18362,2.702910476190477e-07
277,90.0,2.0,1.18501,2.1794006349206348e-07
278,90.0,2.0,1.1864,1.9945003174603172e-07
279,90.0,2.0,1.18779,1.630536507936508e-07
280,90.0,2.0,1.18918,1.610291746031746e-07
281,90.0,2.0,1.19058,6.287577460317461e-08
282,90.0,2.0,1.19197,7.883820317460318e-08
283,90.0,2.0,1.19337,9.122681904761904e-07
284,90.0,2.0,1.19477,1.3160660317460316e-06
285,90.0,2.0,1.19617,1.373568888888889e-06
286,90.0,2.0,1.19757,5.921993333333332e-07
287,90.0,2.0,1.19898,1.8966184126984127e-07
288,90.0,2.0,1.20038,1.4560301587301585e-07
289,90.0,2.0,1.20179,1.3836222222222223e-07
290,90.0,2.0,1.2032,1.2882720634920635e-07
291,90.0,2.0,1.20461,1.5025038095238096e-07
292,90.0,2.0,1.20602,1.4469066666666664e-07
293,90.0,2.0,1.20744,1.2361549206349205e-07
294,90.0,2.0,1.20885,8.37076253968254e-08
295,90.0,2.0,1.21027,1.1174574603174602e-07
296,90.0,2.0,1.21169,1.757086984126984e-07
297,90.0,2.0,1.21311,3.338737777777778e-07
298,90.0,2.0,1.21453,3.307482222222222e-07
299,90.0,2.0,1.21596,3.188471746031746e-07
300,90.0,2.0,1.21738,1.5739726984126983e-07
301,90.0,2.0,1.21881,9.119947619047619e-08
302,90.0,2.0,1.22024,2.047713015873016e-07
303,90.0,2.0,1.22167,2.206485714285714e-07
304,90.0,2.0,1.2231,8.984430158730157e-07
305,90.0,2.0,1.22454,7.519414603174603e-07
306,90.0,2.0,1.22597,1.0152669841269841e-06
307,90.0,2.0,1.22741,2.3598266666666664e-06
308,90.0,2.0,1.22885,2.4376847619047617e-06
309,90.0,2.0,1.23029,2.2458520634920633e-06
310,90.0,2.0,1.23173,2.0041577777777777e-06
311,90.0,2.0,1.23318,6.822853015873016e-06
312,90.0,2.0,1.23462,2.0402098412698413e-05
313,90.0,2.0,1.23607,2.555737777777778e-05
314,90.0,2.0,1.23752,3.091970793650793e-05
315,90.0,2.0,1.23897,5.487693015873016e-05
316,90.0,2.0,1.24042,6.96088380952381e-05
317,90.0,2.0,1.24188,9.02101619047619e-05
318,90.0,2.0,1.24333,0.00010164361904761905
319,90.0,2.0,1.24479,0.00012170057142857143
320,90.0,2.0,1.24625,0.00011055812698412698
321,90.0,2.0,1.24771,8.904196825396826e-05
322,90.0,2.0,1.24918,9.326584126984127e-05
323,90.0,2.0,1.25064,7.580406666666667e-05
324,90.0,2.0,1.25211,6.984903174603174e-05
325,90.0,2.0,1.25357,4.2303266666666665e-05
326,90.0,2.0,1.25504,4.5499987301587307e-05
327,90.0,2.0,1.25652,3.4250933333333334e-05
328,90.0,2.0,1.25799,5.05749873015873e-05
329,90.0,2.0,1.25946,6.439905714285714e-05
330,90.0,2.0,1.26094,5.425089841269841e-05
331,90.0,2.0,1.26242,2.0486428571428573e-05
332,90.0,2.0,1.2639,1.013655873015873e-05
333,90.0,2.0,1.26538,3.6045619047619045e-05
334,90.0,2.0,1.26687,5.870437777777778e-05
335,90.0,2.0,1.26835,5.1059057142857144e-05
336,90.0,2.0,1.26984,2.4979955555555556e-05
337,90.0,2.0,1.27133,1.740506349206349e-05
338,90.0,2.0,1.27282,3.964382857142858e-05
339,90.0,2.0,1.27431,4.488933015873015e-05
340,90.0,2.0,1.2758,2.9063800000000005e-05
341,90.0,2.0,1.2773,5.603361587301587e-06
