,T_int,logg,lam,f_nu
290,90.0,2.4,1.06099,1.56324e-06
291,90.0,2.4,1.06226,2.11782e-06
292,90.0,2.4,1.06353,3.04002e-06
293,90.0,2.4,1.06481,3.88321e-06
294,90.0,2.4,1.06609,3.42268e-06
295,90.0,2.4,1.06737,2.97922e-06
296,90.0,2.4,1.06865,2.9055e-06
297,90.0,2.4,1.06993,3.78881e-06
298,90.0,2.4,1.07121,3.74229e-06
299,90.0,2.4,1.07249,4.23245e-06
300,90.0,2.4,1.07378,3.33472e-06
301,90.0,2.4,1.07507,3.41733e-06
302,90.0,2.4,1.07636,2.80725e-06
303,90.0,2.4,1.07765,2.84371e-06
304,90.0,2.4,1.07894,3.72834e-06
305,90.0,2.4,1.08023,3.97233e-06
306,90.0,2.4,1.08153,4.13491e-06
307,90.0,2.4,1.08283,3.98868e-06
308,90.0,2.4,1.08413,3.98604e-06
309,90.0,2.4,1.08543,3.73387e-06
310,90.0,2.4,1.08673,3.02186e-06
311,90.0,2.4,1.08803,2.59316e-06
312,90.0,2.4,1.08934,2.40675e-06
313,90.0,2.4,1.09064,2.34415e-06
314,90.0,2.4,1.09195,1.9869e-06
315,90.0,2.4,1.09326,2.04275e-06
316,90.0,2.4,1.09457,1.63471e-06
317,90.0,2.4,1.09588,1.31772e-06
318,90.0,2.4,1.0972,7.61893e-07
319,90.0,2.4,1.09851,1.69892e-06
320,90.0,2.4,1.09983,2.93049e-06
321,90.0,2.4,1.10115,3.31177e-06
322,90.0,2.4,1.10247,2.06167e-06
323,90.0,2.4,1.10379,1.41276e-06
324,90.0,2.4,1.10512,2.30034e-06
325,90.0,2.4,1.10644,3.27493e-06
326,90.0,2.4,1.10777,3.38675e-06
327,90.0,2.4,1.1091,3.2819e-06
328,90.0,2.4,1.11043,3.46978e-06
329,90.0,2.4,1.11176,3.86914e-06
330,90.0,2.4,1.11309,2.89728e-06
331,90.0,2.4,1.11443,1.80877e-06
332,90.0,2.4,1.11576,9.89992e-07
333,90.0,2.4,1.1171,1.25633e-06
334,90.0,2.4,1.11844,1.59399e-06
335,90.0,2.4,1.11978,1.7092e-06
336,90.0,2.4,1.12113,1.23565e-06
337,90.0,2.4,1.12247,8.1107e-07
338,90.0,2.4,1.12382,3.97256e-07
339,90.0,2.4,1.12516,2.70576e-07
340,90.0,2.4,1.12651,2.40074e-07
341,90.0,2.4,1.12786,2.18004e-07
342,90.0,2.4,1.12922,3.035e-07
343,90.0,2.4,1.13057,7.1143e-07
344,90.0,2.4,1.13193,1.01145e-06
345,90.0,2.4,1.13328,1.03996e-06
346,90.0,2.4,1.13464,6.82147e-07
347,90.0,2.4,1.136,4.40955e-07
348,90.0,2.4,1.13737,4.98036e-07
349,90.0,2.4,1.13873,7.69277e-07
350,90.0,2.4,1.1401,7.26937e-07
351,90.0,2.4,1.14146,5.08782e-07
352,90.0,2.4,1.14283,2.13473e-07
353,90.0,2.4,1.1442,2.68642e-07
354,90.0,2.4,1.14557,3.74184e-07
355,90.0,2.4,1.14695,4.62409e-07
