,T_int,logg,lam,f_nu,f_lam,F
98,200.0,2.0,0.5664119999999999,3.6883e-31,3.4465298961609536e-12,5.254375237651527e-15
99,200.0,2.0,0.5671369999999999,3.5046000000000004e-31,3.266504015586639e-12,5.254375237651527e-15
100,200.0,2.0,0.567863,3.44198e-31,3.1999404807579684e-12,5.254375237651527e-15
101,200.0,2.0,0.56859,3.38795e-31,3.1416605642867554e-12,5.254375237651527e-15
102,200.0,2.0,0.569318,3.4359300000000004e-31,3.178009420781643e-12,5.254375237651527e-15
103,200.0,2.0,0.570047,3.49047e-31,3.220203247989548e-12,5.254375237651527e-15
104,200.0,2.0,0.5707769999999999,3.42676e-31,3.1533448133014568e-12,5.254375237651527e-15
105,200.0,2.0,0.5715079999999999,3.25183e-31,2.984722147463243e-12,5.254375237651527e-15
106,200.0,2.0,0.57224,3.11543e-31,2.8522151112475114e-12,5.254375237651527e-15
107,200.0,2.0,0.572973,3.0585900000000005e-31,2.793017472184105e-12,5.254375237651527e-15
108,200.0,2.0,0.573706,3.0395100000000003e-31,2.7685061697098784e-12,5.254375237651527e-15
109,200.0,2.0,0.574441,2.9869e-31,2.7136293428071476e-12,5.254375237651527e-15
110,200.0,2.0,0.575176,2.9417000000000002e-31,2.6657386634984865e-12,5.254375237651527e-15
111,200.0,2.0,0.575913,2.89834e-31,2.619728408778927e-12,5.254375237651527e-15
112,200.0,2.0,0.57665,2.86036e-31,2.5787949218344785e-12,5.254375237651527e-15
113,200.0,2.0,0.5773889999999999,2.76115e-31,2.482982689558547e-12,5.254375237651527e-15
114,200.0,2.0,0.5781279999999999,2.6368500000000002e-31,2.365146903382783e-12,5.254375237651527e-15
115,200.0,2.0,0.578868,2.6268600000000002e-31,2.3501660365297406e-12,5.254375237651527e-15
116,200.0,2.0,0.5796099999999998,2.67804e-31,2.3898245760053126e-12,5.254375237651527e-15
117,200.0,2.0,0.5803519999999999,2.8051200000000002e-31,2.4968311662181965e-12,5.254375237651527e-15
118,200.0,2.0,0.5810949999999999,2.94677e-31,2.6162103868182655e-12,5.254375237651527e-15
119,200.0,2.0,0.581839,2.91605e-31,2.582319727154669e-12,5.254375237651527e-15
120,200.0,2.0,0.5825839999999999,2.5448200000000003e-31,2.2478155232326857e-12,5.254375237651527e-15
121,200.0,2.0,0.58333,2.5395100000000002e-31,2.237391612611567e-12,5.254375237651527e-15
122,200.0,2.0,0.584077,2.87328e-31,2.524982911570187e-12,5.254375237651527e-15
123,200.0,2.0,0.584825,3.5409900000000004e-31,3.1037986809248445e-12,5.254375237651527e-15
124,200.0,2.0,0.5855739999999999,3.5244e-31,3.0813591775727357e-12,5.254375237651527e-15
125,200.0,2.0,0.5863229999999999,3.3606000000000004e-31,2.9306480395926126e-12,5.254375237651527e-15
126,200.0,2.0,0.5870739999999999,2.82649e-31,2.458569344540334e-12,5.254375237651527e-15
127,200.0,2.0,0.5878259999999998,2.04134e-31,1.7710811707678338e-12,5.254375237651527e-15
128,200.0,2.0,0.588579,1.36506e-31,1.1813073828399236e-12,5.254375237651527e-15
129,200.0,2.0,0.589332,1.41543e-31,1.221768861625508e-12,5.254375237651527e-15
130,200.0,2.0,0.5900869999999999,1.8726300000000002e-31,1.6122804415715533e-12,5.254375237651527e-15
131,200.0,2.0,0.590842,1.9892900000000003e-31,1.7083469761467805e-12,5.254375237651527e-15
132,200.0,2.0,0.591599,1.82005e-31,1.5590109281892382e-12,5.254375237651527e-15
133,200.0,2.0,0.5923559999999999,2.02751e-31,1.732280131405273e-12,5.254375237651527e-15
134,200.0,2.0,0.593115,2.20054e-31,1.8753060515855923e-12,5.254375237651527e-15
135,200.0,2.0,0.5938739999999999,2.53176e-31,2.1520611758245863e-12,5.254375237651527e-15
136,200.0,2.0,0.594635,2.3270900000000002e-31,1.973026629043351e-12,5.254375237651527e-15
137,200.0,2.0,0.595396,2.51424e-31,2.1262562789690385e-12,5.254375237651527e-15
138,200.0,2.0,0.5961589999999999,2.18328e-31,1.8416450493240827e-12,5.254375237651527e-15
139,200.0,2.0,0.596922,1.84369e-31,1.5512201310450674e-12,5.254375237651527e-15
140,200.0,2.0,0.597686,1.3276000000000001e-31,1.1141451659454117e-12,5.254375237651527e-15
141,200.0,2.0,0.598452,1.40316e-31,1.1745438987481999e-12,5.254375237651527e-15
142,200.0,2.0,0.599218,1.8100900000000002e-31,1.5113016989395688e-12,5.254375237651527e-15
143,200.0,2.0,0.5999849999999999,2.24585e-31,1.870340437517636e-12,5.254375237651527e-15
144,200.0,2.0,0.6007529999999999,2.3605099999999997e-31,1.960806107888283e-12,5.254375237651527e-15
145,200.0,2.0,0.6015229999999999,2.20812e-31,1.8295273183065335e-12,5.254375237651527e-15
146,200.0,2.0,0.6022929999999999,1.9249900000000002e-31,1.5908658133918476e-12,5.254375237651527e-15
147,200.0,2.0,0.603064,1.66486e-31,1.3723712584161494e-12,5.254375237651527e-15
148,200.0,2.0,0.6038359999999999,1.5846e-31,1.3028738016953966e-12,5.254375237651527e-15
149,200.0,2.0,0.60461,1.7128900000000002e-31,1.4047515661087456e-12,5.254375237651527e-15
150,200.0,2.0,0.6053839999999999,2.09462e-31,1.7134209461466931e-12,5.254375237651527e-15
151,200.0,2.0,0.606159,2.49469e-31,2.0354675051394353e-12,5.254375237651527e-15
152,200.0,2.0,0.606935,2.46463e-31,2.0058020380699926e-12,5.254375237651527e-15
153,200.0,2.0,0.607712,2.2757900000000003e-31,1.847384364032555e-12,5.254375237651527e-15
154,200.0,2.0,0.60849,2.1993499999999997e-31,1.7807713494909387e-12,5.254375237651527e-15
155,200.0,2.0,0.6092689999999998,2.53116e-31,2.0441941383232894e-12,5.254375237651527e-15
156,200.0,2.0,0.61005,2.72882e-31,2.1981874773124845e-12,5.254375237651527e-15
157,200.0,2.0,0.6108309999999999,2.63706e-31,2.118842009400304e-12,5.254375237651527e-15
158,200.0,2.0,0.6116129999999999,2.39379e-31,1.918462592961925e-12,5.254375237651527e-15
159,200.0,2.0,0.612396,2.1594600000000003e-31,1.726240001753647e-12,5.254375237651527e-15
160,200.0,2.0,0.6131799999999998,1.92982e-31,1.538726891234911e-12,5.254375237651527e-15
161,200.0,2.0,0.6139649999999999,1.71793e-31,1.3662775687491515e-12,5.254375237651527e-15
162,200.0,2.0,0.6147519999999999,1.51349e-31,1.2006055817119967e-12,5.254375237651527e-15
163,200.0,2.0,0.615539,1.39527e-31,1.1039967886534086e-12,5.254375237651527e-15
164,200.0,2.0,0.6163269999999998,1.3002900000000002e-31,1.0262154247916432e-12,5.254375237651527e-15
165,200.0,2.0,0.6171159999999999,1.1607e-31,9.137072570895045e-13,5.254375237651527e-15
166,200.0,2.0,0.617906,1.0128299999999999e-31,7.952660356465029e-13,5.254375237651527e-15
167,200.0,2.0,0.6186969999999999,8.90786e-32,6.976507499583471e-13,5.254375237651527e-15
168,200.0,2.0,0.61949,8.616260000000001e-32,6.73086527749873e-13,5.254375237651527e-15
169,200.0,2.0,0.620283,8.98421e-32,7.000367506426616e-13,5.254375237651527e-15
170,200.0,2.0,0.6210769999999999,9.92017e-32,7.709903183232126e-13,5.254375237651527e-15
171,200.0,2.0,0.621872,1.13172e-31,8.773193088935038e-13,5.254375237651527e-15
172,200.0,2.0,0.622669,1.32864e-31,1.0273384362487779e-12,5.254375237651527e-15
173,200.0,2.0,0.6234659999999999,1.58781e-31,1.2245983961356977e-12,5.254375237651527e-15
174,200.0,2.0,0.624264,1.8861200000000002e-31,1.4509533234301549e-12,5.254375237651527e-15
175,200.0,2.0,0.6250639999999998,2.1818400000000003e-31,1.6741510083193143e-12,5.254375237651527e-15
176,200.0,2.0,0.6258639999999999,2.46747e-31,1.888481093163677e-12,5.254375237651527e-15
177,200.0,2.0,0.6266649999999999,2.6492600000000004e-31,2.0224342256797768e-12,5.254375237651527e-15
178,200.0,2.0,0.627468,2.72596e-31,2.0756638284307868e-12,5.254375237651527e-15
179,200.0,2.0,0.6282709999999999,2.8329e-31,2.1515820858599828e-12,5.254375237651527e-15
180,200.0,2.0,0.6290759999999999,3.0533900000000003e-31,2.3131124628532795e-12,5.254375237651527e-15
181,200.0,2.0,0.6298809999999999,3.29326e-31,2.4884545070870966e-12,5.254375237651527e-15
182,200.0,2.0,0.630688,2.78973e-31,2.1025858628801306e-12,5.254375237651527e-15
183,200.0,2.0,0.6314949999999999,2.3436100000000003e-31,1.7618389737073707e-12,5.254375237651527e-15
184,200.0,2.0,0.6323039999999999,2.28292e-31,1.7118256808015442e-12,5.254375237651527e-15
185,200.0,2.0,0.633114,2.78205e-31,2.0807590856326987e-12,5.254375237651527e-15
186,200.0,2.0,0.6339239999999999,3.00812e-31,2.2440962067000066e-12,5.254375237651527e-15
187,200.0,2.0,0.634736,2.74337e-31,2.0413563623045216e-12,5.254375237651527e-15
188,200.0,2.0,0.635549,2.42127e-31,1.7970735186867636e-12,5.254375237651527e-15
189,200.0,2.0,0.6363629999999999,1.86069e-31,1.3774786788294178e-12,5.254375237651527e-15
190,200.0,2.0,0.637177,1.83056e-31,1.351712996782197e-12,5.254375237651527e-15
191,200.0,2.0,0.6379929999999999,2.00769e-31,1.4787185853223903e-12,5.254375237651527e-15
192,200.0,2.0,0.63881,2.18165e-31,1.6027373924694533e-12,5.254375237651527e-15
193,200.0,2.0,0.639628,1.8259400000000002e-31,1.3379881641812072e-12,5.254375237651527e-15
194,200.0,2.0,0.640447,1.55779e-31,1.138579141132983e-12,5.254375237651527e-15
195,200.0,2.0,0.6412669999999999,1.52688e-31,1.113134969724651e-12,5.254375237651527e-15
196,200.0,2.0,0.642088,1.64485e-31,1.1960735739502686e-12,5.254375237651527e-15
197,200.0,2.0,0.6429109999999999,1.38794e-31,1.0066759244039576e-12,5.254375237651527e-15
198,200.0,2.0,0.643734,1.11087e-31,8.036575808980664e-13,5.254375237651527e-15
199,200.0,2.0,0.644558,9.357030000000002e-32,6.752035526209739e-13,5.254375237651527e-15
200,200.0,2.0,0.6453829999999999,9.7104e-32,6.989124553013886e-13,5.254375237651527e-15
201,200.0,2.0,0.64621,8.719890000000001e-32,6.260144538194424e-13,5.254375237651527e-15
202,200.0,2.0,0.6470369999999999,6.73644e-32,4.823840250310383e-13,5.254375237651527e-15
203,200.0,2.0,0.647866,6.3141e-32,4.50984671758153e-13,5.254375237651527e-15
204,200.0,2.0,0.648695,8.592870000000001e-32,6.12178176518748e-13,5.254375237651527e-15
205,200.0,2.0,0.6495259999999999,7.3886e-32,5.250368408426747e-13,5.254375237651527e-15
206,200.0,2.0,0.6503579999999999,7.96363e-32,5.644517232091879e-13,5.254375237651527e-15
207,200.0,2.0,0.6511899999999999,9.011670000000001e-32,6.371043016342162e-13,5.254375237651527e-15
208,200.0,2.0,0.652024,1.3220600000000002e-31,9.32276431092865e-13,5.254375237651527e-15
209,200.0,2.0,0.6528589999999999,1.30673e-31,9.191105978289628e-13,5.254375237651527e-15
210,200.0,2.0,0.653695,1.28144e-31,8.99018550179858e-13,5.254375237651527e-15
211,200.0,2.0,0.654532,1.24307e-31,8.698703347086603e-13,5.254375237651527e-15
212,200.0,2.0,0.6553699999999999,1.17357e-31,8.191370830395528e-13,5.254375237651527e-15
213,200.0,2.0,0.6562089999999999,1.02915e-31,7.164980558318499e-13,5.254375237651527e-15
214,200.0,2.0,0.6570499999999999,9.588680000000001e-32,6.658596358958706e-13,5.254375237651527e-15
215,200.0,2.0,0.657891,1.02565e-31,7.104147939481458e-13,5.254375237651527e-15
216,200.0,2.0,0.6587329999999999,1.13975e-31,7.8742910442061e-13,5.254375237651527e-15
217,200.0,2.0,0.6595769999999999,1.17121e-31,8.070946503455197e-13,5.254375237651527e-15
218,200.0,2.0,0.6604209999999999,1.36699e-31,9.396027767910148e-13,5.254375237651527e-15
219,200.0,2.0,0.661267,1.58579e-31,1.087208095457888e-12,5.254375237651527e-15
220,200.0,2.0,0.662114,1.79966e-31,1.2306813666532522e-12,5.254375237651527e-15
221,200.0,2.0,0.662962,1.82201e-31,1.2427798042964468e-12,5.254375237651527e-15
222,200.0,2.0,0.66381,1.8091899999999998e-31,1.2308844930082505e-12,5.254375237651527e-15
223,200.0,2.0,0.6646599999999999,1.7691100000000002e-31,1.2005395003721684e-12,5.254375237651527e-15
224,200.0,2.0,0.665512,1.70815e-31,1.1562052225272343e-12,5.254375237651527e-15
225,200.0,2.0,0.666364,1.66352e-31,1.1231187472270988e-12,5.254375237651527e-15
226,200.0,2.0,0.667217,1.70169e-31,1.1459533627594238e-12,5.254375237651527e-15
227,200.0,2.0,0.668071,1.79521e-31,1.2058428749143554e-12,5.254375237651527e-15
228,200.0,2.0,0.668927,1.9046600000000001e-31,1.2760882581335963e-12,5.254375237651527e-15
229,200.0,2.0,0.669783,2.05599e-31,1.3739580096572943e-12,5.254375237651527e-15
230,200.0,2.0,0.670641,2.2615400000000003e-31,1.5074564522944345e-12,5.254375237651527e-15
231,200.0,2.0,0.6714999999999999,2.5047e-31,1.665268951004547e-12,5.254375237651527e-15
