,T_int,logg,lam,f_nu
318,90.0,2.4,1.0972,1.5617e-05
319,90.0,2.4,1.09851,0.000210617
320,90.0,2.4,1.09983,0.000564213
321,90.0,2.4,1.10115,0.000576788
322,90.0,2.4,1.10247,0.000371266
323,90.0,2.4,1.10379,4.65682e-05
324,90.0,2.4,1.10512,-0.00672413
325,90.0,2.4,1.10644,-0.0063121
326,90.0,2.4,1.10777,-0.00629669
327,90.0,2.4,1.1091,-0.00437072
328,90.0,2.4,1.11043,-0.00927034
329,90.0,2.4,1.11176,-0.00914147
330,90.0,2.4,1.11309,-0.00429671
331,90.0,2.4,1.11443,0.000194428
332,90.0,2.4,1.11576,3.22504e-05
333,90.0,2.4,1.1171,4.48292e-05
334,90.0,2.4,1.11844,5.78389e-05
335,90.0,2.4,1.11978,6.3728e-05
336,90.0,2.4,1.12113,3.63856e-05
337,90.0,2.4,1.12247,2.00809e-05
338,90.0,2.4,1.12382,3.02793e-06
339,90.0,2.4,1.12516,9.84434e-07
340,90.0,2.4,1.12651,5.11349e-07
341,90.0,2.4,1.12786,3.10598e-07
342,90.0,2.4,1.12922,6.28157e-07
343,90.0,2.4,1.13057,1.6118e-05
344,90.0,2.4,1.13193,2.46468e-05
345,90.0,2.4,1.13328,2.50051e-05
346,90.0,2.4,1.13464,9.59009e-06
347,90.0,2.4,1.136,1.29796e-06
348,90.0,2.4,1.13737,7.67061e-06
349,90.0,2.4,1.13873,1.96437e-05
350,90.0,2.4,1.1401,1.94398e-05
351,90.0,2.4,1.14146,1.22515e-05
352,90.0,2.4,1.14283,2.30738e-07
353,90.0,2.4,1.1442,4.09679e-07
354,90.0,2.4,1.14557,1.23371e-06
355,90.0,2.4,1.14695,2.57925e-06
356,90.0,2.4,1.14832,4.47119e-06
357,90.0,2.4,1.1497,4.122e-06
358,90.0,2.4,1.15108,2.69511e-06
359,90.0,2.4,1.15246,1.34685e-06
360,90.0,2.4,1.15384,1.58456e-06
361,90.0,2.4,1.15523,1.66099e-06
362,90.0,2.4,1.15661,8.81847e-07
363,90.0,2.4,1.158,1.34405e-07
364,90.0,2.4,1.15939,5.09019e-08
365,90.0,2.4,1.16078,2.00049e-07
366,90.0,2.4,1.16217,3.35524e-07
367,90.0,2.4,1.16356,3.3344e-07
368,90.0,2.4,1.16496,2.00035e-07
369,90.0,2.4,1.16636,1.24025e-07
370,90.0,2.4,1.16775,1.57361e-07
371,90.0,2.4,1.16916,1.38158e-07
372,90.0,2.4,1.17056,7.59529e-08
373,90.0,2.4,1.17196,3.98668e-08
374,90.0,2.4,1.17337,2.52528e-08
375,90.0,2.4,1.17477,3.87746e-08
376,90.0,2.4,1.17618,5.05978e-08
377,90.0,2.4,1.17759,5.4422e-08
378,90.0,2.4,1.17901,5.1386e-08
379,90.0,2.4,1.18042,6.77536e-08
380,90.0,2.4,1.18184,2.27897e-07
381,90.0,2.4,1.18325,2.67702e-07
382,90.0,2.4,1.18467,2.5446e-07
383,90.0,2.4,1.18609,1.87741e-07
384,90.0,2.4,1.18751,1.41552e-07
385,90.0,2.4,1.18894,1.28674e-07
386,90.0,2.4,1.19036,1.18648e-07
387,90.0,2.4,1.19179,1.22784e-07
388,90.0,2.4,1.19322,1.41349e-06
389,90.0,2.4,1.19465,2.05802e-06
390,90.0,2.4,1.19609,2.12202e-06
391,90.0,2.4,1.19752,8.73926e-07
392,90.0,2.4,1.19896,1.66148e-07
393,90.0,2.4,1.20039,1.15604e-07
394,90.0,2.4,1.20183,1.12254e-07
395,90.0,2.4,1.20327,1.13264e-07
396,90.0,2.4,1.20472,1.28785e-07
397,90.0,2.4,1.20616,1.24104e-07
398,90.0,2.4,1.20761,1.00501e-07
399,90.0,2.4,1.20906,8.00062e-08
400,90.0,2.4,1.21051,1.14086e-07
401,90.0,2.4,1.21196,1.75024e-07
402,90.0,2.4,1.21341,2.59558e-07
403,90.0,2.4,1.21487,2.29102e-07
404,90.0,2.4,1.21632,2.12827e-07
405,90.0,2.4,1.21778,1.07869e-07
406,90.0,2.4,1.21924,9.71651e-08
407,90.0,2.4,1.22071,1.38532e-07
408,90.0,2.4,1.22217,2.35383e-07
409,90.0,2.4,1.22363,4.99899e-07
410,90.0,2.4,1.2251,4.17668e-07
411,90.0,2.4,1.22657,1.24279e-05
412,90.0,2.4,1.22804,1.23031e-05
413,90.0,2.4,1.22952,1.23556e-05
414,90.0,2.4,1.23099,4.06693e-07
415,90.0,2.4,1.23247,4.02081e-06
416,90.0,2.4,1.23394,1.33201e-05
417,90.0,2.4,1.23542,2.98719e-05
418,90.0,2.4,1.23691,2.87546e-05
419,90.0,2.4,1.23839,0.000131427
420,90.0,2.4,1.23987,0.000154682
421,90.0,2.4,1.24136,0.000233573
422,90.0,2.4,1.24285,-0.00614982
423,90.0,2.4,1.24434,-0.0186225
424,90.0,2.4,1.24583,-0.0186597
425,90.0,2.4,1.24733,-0.0123071
426,90.0,2.4,1.24882,-0.0370916
427,90.0,2.4,1.25032,-0.0371234
428,90.0,2.4,1.25182,-0.0371837
429,90.0,2.4,1.25332,5.83859e-05
430,90.0,2.4,1.25482,5.53268e-05
431,90.0,2.4,1.25633,4.30878e-05
432,90.0,2.4,1.25784,0.000113351
433,90.0,2.4,1.25934,0.000127347
434,90.0,2.4,1.26085,0.000119009
435,90.0,2.4,1.26237,2.47564e-05
436,90.0,2.4,1.26388,1.42634e-05
437,90.0,2.4,1.2654,0.000162228
438,90.0,2.4,1.26691,0.000187537
439,90.0,2.4,1.26843,0.000175915
440,90.0,2.4,1.26995,2.76677e-05
441,90.0,2.4,1.27148,2.75216e-05
442,90.0,2.4,1.273,5.07493e-05
443,90.0,2.4,1.27453,5.37809e-05
444,90.0,2.4,1.27606,2.80921e-05
445,90.0,2.4,1.27759,4.4799e-06
446,90.0,2.4,1.27912,1.08979e-05
447,90.0,2.4,1.28065,4.30463e-05
448,90.0,2.4,1.28219,4.50358e-05
449,90.0,2.4,1.28373,4.69034e-05
450,90.0,2.4,1.28527,1.65634e-05
451,90.0,2.4,1.28681,1.47056e-05
452,90.0,2.4,1.28835,7.07955e-06
453,90.0,2.4,1.2899,9.26046e-06
454,90.0,2.4,1.29144,9.06455e-06
455,90.0,2.4,1.29299,6.58326e-06
456,90.0,2.4,1.29454,9.03259e-06
457,90.0,2.4,1.29609,1.385e-05
458,90.0,2.4,1.29765,1.98377e-05
459,90.0,2.4,1.2992,1.30584e-05
460,90.0,2.4,1.30076,7.40607e-06
461,90.0,2.4,1.30232,1.37297e-06
462,90.0,2.4,1.30388,1.83559e-06
463,90.0,2.4,1.30545,1.8422e-06
464,90.0,2.4,1.30701,9.62227e-07
465,90.0,2.4,1.30858,6.0498e-07
466,90.0,2.4,1.31015,6.67483e-07
467,90.0,2.4,1.31172,5.41507e-07
468,90.0,2.4,1.3133,4.68493e-07
469,90.0,2.4,1.31487,3.73625e-07
470,90.0,2.4,1.31645,2.40851e-07
471,90.0,2.4,1.31803,3.08788e-07
