# T_int  log_g  S  T_eff
1.00000000e+03 3.40000000e+00 8.90860000e+00 1.00000000e+03
1.00000000e+03 3.60000000e+00 8.77340000e+00 1.00000000e+03
1.00000000e+03 3.80000000e+00 8.65400000e+00 1.00000000e+03
1.00000000e+03 4.00000000e+00 8.53150000e+00 1.00000000e+03
1.00000000e+03 4.20000000e+00 8.42240000e+00 1.00000000e+03
1.00000000e+03 4.40000000e+00 8.29600000e+00 1.00000000e+03
1.10000000e+03 2.80000000e+00 9.47430000e+00 1.10000000e+03
1.10000000e+03 3.00000000e+00 9.32930000e+00 1.10000000e+03
1.10000000e+03 3.20000000e+00 9.18830000e+00 1.10000000e+03
1.10000000e+03 3.40000000e+00 9.05020000e+00 1.10000000e+03
1.10000000e+03 3.60000000e+00 8.92230000e+00 1.10000000e+03
1.10000000e+03 3.80000000e+00 8.82020000e+00 1.10000000e+03
1.10000000e+03 4.00000000e+00 8.67170000e+00 1.10000000e+03
1.10000000e+03 4.20000000e+00 8.55320000e+00 1.10000000e+03
1.10000000e+03 4.40000000e+00 8.42790000e+00 1.10000000e+03
1.20000000e+03 2.80000000e+00 9.67540000e+00 1.20000000e+03
1.20000000e+03 3.00000000e+00 9.53670000e+00 1.20000000e+03
1.20000000e+03 3.20000000e+00 9.32750000e+00 1.20000000e+03
1.20000000e+03 3.40000000e+00 9.19880000e+00 1.20000000e+03
1.20000000e+03 3.60000000e+00 9.09020000e+00 1.20000000e+03
1.20000000e+03 3.80000000e+00 8.95920000e+00 1.20000000e+03
1.20000000e+03 4.00000000e+00 8.82220000e+00 1.20000000e+03
1.20000000e+03 4.20000000e+00 8.68350000e+00 1.20000000e+03
1.20000000e+03 4.40000000e+00 8.57580000e+00 1.20000000e+03
1.30000000e+03 2.80000000e+00 9.86900000e+00 1.30000000e+03
1.30000000e+03 3.00000000e+00 9.68130000e+00 1.30000000e+03
1.30000000e+03 3.20000000e+00 9.49970000e+00 1.30000000e+03
1.30000000e+03 3.40000000e+00 9.41520000e+00 1.30000000e+03
1.30000000e+03 3.60000000e+00 9.24430000e+00 1.30000000e+03
1.30000000e+03 3.80000000e+00 9.09630000e+00 1.30000000e+03
1.30000000e+03 4.00000000e+00 8.97170000e+00 1.30000000e+03
1.30000000e+03 4.20000000e+00 8.81610000e+00 1.30000000e+03
1.30000000e+03 4.40000000e+00 8.70310000e+00 1.30000000e+03
1.40000000e+03 2.80000000e+00 1.00830000e+01 1.40000000e+03
1.40000000e+03 3.00000000e+00 9.89580000e+00 1.40000000e+03
1.40000000e+03 3.20000000e+00 9.69930000e+00 1.40000000e+03
1.40000000e+03 3.40000000e+00 9.57590000e+00 1.40000000e+03
1.40000000e+03 3.60000000e+00 9.45300000e+00 1.40000000e+03
1.40000000e+03 3.80000000e+00 9.23270000e+00 1.40000000e+03
1.40000000e+03 4.00000000e+00 9.14030000e+00 1.40000000e+03
1.40000000e+03 4.20000000e+00 8.96540000e+00 1.40000000e+03
1.40000000e+03 4.40000000e+00 8.85190000e+00 1.40000000e+03
